Unnamed: 0,Car Name,Auction Rating,Model Year,Mileage,Fuel Type,Engine Capacity,Transmission,Engine Unit,Price (PKR)
1,BMW X5  2012 xDrive50i for Sale,8,2012,102148,Petrol,4400,Automatic,cc,16000000
2,BMW 7 Series  2017 740 Le xDrive for Sale,,2017,48000,Hybrid,2000,Automatic,cc,34500000
3,BMW 2 Series  2021 218i Gran Coupe for Sale,9.3,2021,68064,Petrol,1500,Manual,cc,13500000
4,BMW X1  2017 sDrive18i A/T for Sale,8.6,2017,138928,Petrol,1500,Automatic,cc,8200000
5,BMW X1  2017 sDrive18i A/T for Sale,8.9,2017,32877,Petrol,1500,Automatic,cc,8200000
6,BMW X5  2008 xDrive30d for Sale,6.5,2008,129697,Diesel,3000,Automatic,cc,5000000
8,BMW X5  2017 xDrive40e for Sale,8.1,2017,83047,Hybrid,2000,Automatic,cc,14000000
9,BMW 7 Series 4th (E65) Generation 2002 735i for Sale,6.7,2002,149268,Petrol,3600,Automatic,cc,4000000
10,BMW X5  2022 xDrive45e for Sale,,2022,54000,PHEV,3000,Automatic,cc,43500000
11,BMW i5  2023 eDrive40 M Sport for Sale,,2023,18000,Electric,810,Automatic,kWh,24900000
12,BMW 7 Series 5th (F01) Generation 2010 750Li for Sale,,2010,97000,Petrol,4400,Automatic,cc,9650000
13,BMW 5 Series 6th (F10) Generation 2013 520i for Sale,,2013,62000,Petrol,2000,Automatic,cc,9700000
14,BMW X5  2012 xDrive50i for Sale,,2012,71200,Petrol,4400,Automatic,cc,17900000
15,BMW X1  2017 sDrive18i A/T for Sale,,2017,120000,Petrol,1500,Automatic,cc,6200000
16,BMW X1  2017 sDrive18i M/T for Sale,,2017,750000,Petrol,1500,Manual,cc,6399000
17,BMW 7 Series 5th (F01) Generation 2010 730d for Sale,,2010,132000,Diesel,3000,Automatic,cc,10100000
18,BMW 3 Series 4th (E46) Generation 2006 320i for Sale,,2006,150000,Petrol,2000,Automatic,cc,3295000
19,BMW 7 Series 5th (F01) Generation 2009 730d for Sale,,2009,105000,Diesel,3000,Automatic,cc,8500000
20,BMW 3 Series 4th (E46) Generation 2003 320i for Sale,,2003,58000,Petrol,2000,Automatic,cc,3250000
21,BMW 7 Series  2006  for Sale,,2006,96000,Petrol,4000,Automatic,cc,4800000
22,BMW 3 Series  1996  for Sale,,1996,200000,Petrol,1800,Manual,cc,2100000
23,BMW i4  2022 eDrive40 for Sale,,2022,41500,Electric,84,Automatic,kWh,20900000
24,BMW X1  2017 sDrive18i A/T for Sale,8.7,2017,89293,Petrol,1500,Automatic,cc,7200000
25,BMW 7 Series 5th (F01) Generation 2010 730d for Sale,,2010,132000,Diesel,3000,Automatic,cc,10100000
26,BMW 3 Series 4th (E46) Generation 2006 320i for Sale,,2006,150000,Petrol,2000,Automatic,cc,3295000
27,BMW 7 Series 5th (F01) Generation 2009 730d for Sale,,2009,105000,Diesel,3000,Automatic,cc,8500000
28,BMW i4  2022 eDrive40 for Sale,,2022,41500,Electric,84,Automatic,kWh,20900000
29,BMW X1  2017 sDrive18i A/T for Sale,8.7,2017,89293,Petrol,1500,Automatic,cc,7200000
30,BMW 5 Series 5th (E60) Generation 2006 525i for Sale,8,2006,89383,Petrol,2500,Automatic,cc,4000000
31,BMW 3 Series  2018 318i for Sale,8.3,2018,109245,Petrol,1600,Automatic,cc,9000000
32,BMW X1  2018 sDrive18i A/T for Sale,,2018,150000,Petrol,1500,Automatic,cc,9300000
33,BMW X3  2008  for Sale,7.3,2008,93048,Petrol,2500,Automatic,cc,4000000
34,BMW 2 Series  2020 218i Gran Coupe for Sale,9.3,2020,25441,Petrol,1500,Manual,cc,15000000
36,BMW X1  2017 sDrive18i A/T for Sale,9.1,2017,30005,Petrol,1500,Automatic,cc,9000000
37,BMW 5 Series 5th (E60) Generation 2004 525i for Sale,,2004,150000,Petrol,2500,Automatic,cc,2800000
38,BMW 7 Series 5th (F01) Generation 2009 740i for Sale,,2009,84000,Petrol,3000,Automatic,cc,8450000
39,BMW X1  2017 sDrive18i A/T for Sale,,2017,125000,Petrol,1500,Automatic,cc,7500000
40,BMW X1  2017 sDrive18i A/T for Sale,,2017,130000,Petrol,1500,Automatic,cc,5600000
41,BMW 3 Series 4th (E46) Generation 2000 316i for Sale,,2000,155000,Petrol,1800,Manual,cc,2200000
42,BMW i4  2026 eDrive35 for Sale,,2026,1500,Electric,67,Automatic,kWh,25500000
43,BMW X5  2014  for Sale,7.6,2014,83980,Diesel,2000,Automatic,cc,16000000
44,BMW 7 Series 4th (E65) Generation 2004 745Li for Sale,,2004,174580,Petrol,4400,Automatic,cc,3500000
45,BMW 3 Series  2013 316i for Sale,,2013,69000,Petrol,1600,Automatic,cc,9900000
47,BMW i5  2024 eDrive40 M Sport for Sale,,2024,6100,Electric,81,Automatic,kWh,25000000
48,BMW i5  2023 eDrive40 M Sport for Sale,,2023,4000,Electric,8120,Automatic,kWh,30000000
49,BMW 3 Series 4th (E46) Generation 2000 316i for Sale,,2000,155000,Petrol,1800,Manual,cc,2100000
50,BMW i5  2023 eDrive40 for Sale,,2023,6000,Electric,81,Automatic,kWh,25300000
51,BMW iX  2022 xDrive40 for Sale,9.7,2022,24936,Electric,710,Automatic,kWh,27500000
52,BMW 7 Series 4th (E65) Generation 2007 745i for Sale,,2007,69000,Petrol,4400,Automatic,cc,4450000
53,BMW X1  2017 sDrive18i A/T for Sale,8.7,2017,86493,Petrol,1500,Automatic,cc,6900000
54,BMW 3 Series  2015 316i for Sale,,2015,92000,Petrol,1600,Automatic,cc,7250000
55,BMW i4  2026 eDrive35 for Sale,,2026,1500,Electric,67,Automatic,kWh,25500000
56,BMW X5  2014  for Sale,7.6,2014,83980,Diesel,2000,Automatic,cc,16000000
58,BMW i5  2023 eDrive40 M Sport for Sale,,2023,4000,Electric,8120,Automatic,kWh,30000000
59,BMW i5  2023 eDrive40 for Sale,,2023,6000,Electric,81,Automatic,kWh,25300000
