Date,City,Product Category,Units Sold,Revenue,Profit
02/01/2024,Sargodha,Groceries,32,7840,1256
02/01/2024,Peshawar,Cosmetics,43,16856,3444
02/01/2024,Faisalabad,Cosmetics,8,3224,668
04/01/2024,Peshawar,Groceries,11,4433,1034
05/01/2024,Multan,Home Application,7,2625,661
06/01/2024,Multan,Clothing,47,10387,2984
09/01/2024,Karachi,Footwear,2,870,90
09/01/2024,Faisalabad,Groceries,21,4599,752
13/01/2024,Multan,Groceries,1,368,65
13/01/2024,Islamabad,Clothing,49,22001,5678
14/01/2024,Peshawar,Electronics,27,10368,1410
15/01/2024,Sargodha,Clothing,11,2706,632
15/01/2024,Karachi,Electronics,43,13459,3536
17/01/2024,Karachi,Clothing,49,15190,2225
18/01/2024,Lahore,Clothing,9,3438,395
20/01/2024,Lahore,Clothing,19,9386,1546
21/01/2024,Karachi,Cosmetics,15,7215,862
21/01/2024,Karachi,Electronics,27,7965,2368
22/01/2024,Faisalabad,Footwear,10,3300,626
22/01/2024,Rawalpindi,Clothing,34,14688,3874
26/01/2024,Multan,Groceries,49,18424,2758
27/01/2024,Multan,Electronics,28,8988,1760
28/01/2024,Peshawar,Footwear,10,2880,794
28/01/2024,Peshawar,Footwear,16,3680,662
29/01/2024,Islamabad,Footwear,49,12642,3678
02/02/2024,Islamabad,Footwear,27,11448,1468
02/02/2024,Peshawar,Groceries,26,8372,1924
04/02/2024,Sargodha,Groceries,40,18520,2303
04/02/2024,Karachi,Electronics,8,2728,282
04/02/2024,Karachi,Groceries,17,7820,1477
05/02/2024,Karachi,Electronics,16,4240,585
05/02/2024,Islamabad,Home Application,7,1806,417
06/02/2024,Faisalabad,Cosmetics,5,2480,670
06/02/2024,Multan,Electronics,9,3645,452
07/02/2024,Peshawar,Groceries,7,2471,323
08/02/2024,Islamabad,Cosmetics,38,15466,2669
08/02/2024,Multan,Footwear,19,4161,563
10/02/2024,Peshawar,Electronics,9,2871,805
10/02/2024,Faisalabad,Cosmetics,41,18860,5435
11/02/2024,Faisalabad,Footwear,26,10998,1428
13/02/2024,Lahore,Footwear,33,16302,4020
13/02/2024,Multan,Footwear,19,6821,1805
14/02/2024,Multan,Electronics,49,16268,3359
15/02/2024,Islamabad,Cosmetics,34,13838,3029
17/02/2024,Multan,Home Application,11,2508,416
18/02/2024,Karachi,Home Application,36,10188,2050
18/02/2024,Sargodha,Footwear,31,7378,1605
19/02/2024,Karachi,Footwear,26,12792,2763
20/02/2024,Karachi,Clothing,8,3408,704
20/02/2024,Sargodha,Electronics,18,7632,991
20/02/2024,Sargodha,Cosmetics,17,6205,1332
21/02/2024,Faisalabad,Cosmetics,20,8720,2175
21/02/2024,Karachi,Groceries,24,5064,1186
22/02/2024,Multan,Home Application,16,4112,528
22/02/2024,Multan,Cosmetics,31,12927,3280
22/02/2024,Faisalabad,Electronics,10,4650,1105
23/02/2024,Sargodha,Home Application,4,1616,441
23/02/2024,Peshawar,Electronics,12,3264,550
23/02/2024,Sargodha,Clothing,32,13632,1991
23/02/2024,Lahore,Groceries,17,4777,648
24/02/2024,Islamabad,Clothing,29,6757,1629
27/02/2024,Lahore,Electronics,1,410,98
28/02/2024,Rawalpindi,Home Application,47,10058,2914
29/02/2024,Multan,Groceries,23,5129,514
02/03/2024,Multan,Groceries,45,19530,4222
02/03/2024,Faisalabad,Cosmetics,38,12768,2886
03/03/2024,Rawalpindi,Clothing,21,8085,1206
03/03/2024,Faisalabad,Footwear,15,4485,667
03/03/2024,Karachi,Home Application,23,6003,709
05/03/2024,Peshawar,Home Application,1,376,64
06/03/2024,Islamabad,Cosmetics,30,11610,2717
08/03/2024,Islamabad,Electronics,23,6555,1313
12/03/2024,Lahore,Clothing,8,1720,196
15/03/2024,Karachi,Groceries,34,16082,1811
21/03/2024,Sargodha,Electronics,47,16215,4777
21/03/2024,Rawalpindi,Footwear,40,16600,2022
21/03/2024,Lahore,Electronics,33,12903,1897
26/03/2024,Rawalpindi,Groceries,19,7410,1656
28/03/2024,Faisalabad,Cosmetics,39,8034,956
29/03/2024,Karachi,Footwear,26,11544,2632
01/04/2024,Lahore,Electronics,38,14288,2800
01/04/2024,Lahore,Footwear,23,10741,1166
04/04/2024,Rawalpindi,Electronics,19,4009,711
05/04/2024,Karachi,Cosmetics,41,20008,4864
05/04/2024,Lahore,Clothing,7,2765,584
06/04/2024,Islamabad,Electronics,29,12615,2187
06/04/2024,Faisalabad,Footwear,1,208,58
07/04/2024,Rawalpindi,Footwear,19,5377,823
08/04/2024,Sargodha,Clothing,18,6642,1170
08/04/2024,Multan,Groceries,35,7840,1669
08/04/2024,Lahore,Cosmetics,42,12642,2553
08/04/2024,Multan,Footwear,24,4848,1334
08/04/2024,Sargodha,Footwear,25,5200,1319
08/04/2024,Faisalabad,Electronics,44,12232,2777
09/04/2024,Multan,Cosmetics,27,9072,2090
10/04/2024,Lahore,Clothing,44,14212,3090
10/04/2024,Rawalpindi,Cosmetics,37,15133,2796
12/04/2024,Peshawar,Home Application,6,1350,306
12/04/2024,Peshawar,Clothing,47,13395,2425
13/04/2024,Sargodha,Home Application,30,6690,1544
13/04/2024,Faisalabad,Footwear,37,13505,1965
15/04/2024,Rawalpindi,Footwear,26,8814,1820
16/04/2024,Peshawar,Footwear,7,3255,594
17/04/2024,Karachi,Clothing,40,8880,2623
21/04/2024,Faisalabad,Clothing,46,17480,4621
21/04/2024,Faisalabad,Cosmetics,21,10248,1515
22/04/2024,Sargodha,Groceries,23,6762,835
22/04/2024,Rawalpindi,Footwear,47,22748,4426
22/04/2024,Islamabad,Electronics,3,1407,184
22/04/2024,Rawalpindi,Clothing,47,14993,1948
22/04/2024,Lahore,Home Application,1,391,96
23/04/2024,Peshawar,Electronics,25,10025,1445
25/04/2024,Islamabad,Electronics,45,21420,2824
25/04/2024,Lahore,Groceries,17,5457,777
25/04/2024,Karachi,Footwear,1,245,29
29/04/2024,Multan,Home Application,26,10608,2352
30/04/2024,Karachi,Home Application,4,848,157
01/05/2024,Sargodha,Clothing,29,13021,2846
02/05/2024,Peshawar,Clothing,10,3560,939
03/05/2024,Lahore,Clothing,2,440,98
04/05/2024,Rawalpindi,Groceries,41,11726,3074
05/05/2024,Peshawar,Footwear,46,15318,3468
06/05/2024,Rawalpindi,Groceries,37,15022,3678
07/05/2024,Faisalabad,Clothing,37,17390,3055
07/05/2024,Peshawar,Cosmetics,6,1206,295
07/05/2024,Peshawar,Cosmetics,2,636,85
07/05/2024,Sargodha,Footwear,47,21479,5584
08/05/2024,Rawalpindi,Electronics,34,8806,1468
08/05/2024,Faisalabad,Cosmetics,46,11960,3572
09/05/2024,Rawalpindi,Clothing,43,11954,1335
09/05/2024,Karachi,Home Application,34,12342,1675
10/05/2024,Multan,Home Application,43,11653,1764
10/05/2024,Rawalpindi,Cosmetics,24,5688,760
10/05/2024,Sargodha,Footwear,12,5616,1189
10/05/2024,Multan,Cosmetics,38,10678,2900
13/05/2024,Faisalabad,Groceries,29,7076,834
14/05/2024,Faisalabad,Home Application,2,946,101
